model,type,mae_train,mae_test,rmse_train,rmse_test,r2_train,r2_test,mape_train,mape_test,medae_train,medae_test,ev_train,ev_test
LSTM_1722541375,best_combined,6.337268352508545,7.540072917938232,8.30972957611084,9.866047859191895,0.9457414898707787,-0.1779756733456448,0.16744117438793182,0.45054709911346436,4.929341793060303,6.074437618255615,0.9461442033449808,0.012697319189707438
LSTM_1722541375,best_test,10.980050086975098,6.181191921234131,14.96652603149414,7.666229248046875,0.8009384230901871,-0.7159598398051651,0.2858932912349701,0.4424011707305908,7.964646816253662,5.4770660400390625,0.8144752383232117,-0.5877275466918945
LSTM_1722541375,best_train,6.2852959632873535,7.605790615081787,8.2238187789917,9.964987754821777,0.9478817757419727,-0.1949905256480485,0.1664205938577652,0.4557541608810425,4.8797688484191895,6.0645976066589355,0.9480066299438477,0.0024318893750508628
LSTM_1722541375,last,6.2852959632873535,7.605790615081787,8.2238187789917,9.964987754821777,0.9478817757419727,-0.1949905256480485,0.1664205938577652,0.4557541608810425,4.8797688484191895,6.0645976066589355,0.9480066299438477,0.0024318893750508628
LSTM_1722542242,best_combined,6.2340168952941895,7.353860378265381,8.195948600769043,9.577620506286621,0.9481416119106848,0.12915952613684434,0.164217010140419,1.3787012100219727,4.740198135375977,6.0831475257873535,0.9484451214472452,0.23327447970708212
LSTM_1722542242,best_test,10.606890678405762,6.249548435211182,14.43065357208252,7.632147312164307,0.8161415366404544,-0.36886249823496436,0.2650313675403595,0.42291975021362305,7.600250244140625,5.778893947601318,0.8229173024495443,-0.2429593801498413
LSTM_1722542242,best_train,6.180065631866455,7.42700719833374,8.116212844848633,9.71086311340332,0.9508082220692478,0.14124359784689997,0.16082663834095,1.0718121528625488,4.719720840454102,6.0823655128479,0.9508195916811625,0.2531135678291321
LSTM_1722542242,last,6.19097900390625,7.3496174812316895,8.154732704162598,9.61721420288086,0.9487057733345803,0.14547707629415563,0.166179358959198,3.203486680984497,4.711511611938477,6.053350925445557,0.9493919412295023,0.23782873153686523
LSTM_1722542542,best_combined,9.863407135009766,7.104455947875977,13.406180381774902,8.477128028869629,0.8535502894738439,-0.7241912197266925,0.22770057618618011,0.42690813541412354,7.200901031494141,6.580653667449951,0.8535821835199991,-0.4118049144744873
LSTM_1722542542,best_test,10.881163597106934,6.441719055175781,14.64486312866211,7.844931125640869,0.8227368005208207,-0.8768580182737598,0.2749260365962982,0.4195873439311981,8.097911834716797,5.934635639190674,0.82819797595342,-0.6386858622233073
LSTM_1722542542,best_train,9.861502647399902,7.2311859130859375,13.396605491638184,8.608536720275879,0.8527744060197454,-0.7523621878923281,0.22585439682006836,0.42769095301628113,7.231550693511963,6.719354629516602,0.8527872959772745,-0.39978063106536865
LSTM_1722542542,last,9.843903541564941,7.160431385040283,13.399409294128418,8.531489372253418,0.8499943210738748,-0.7631947779224282,0.22715431451797485,0.4269956350326538,7.108870029449463,6.636772632598877,0.8500908613204956,-0.42672308286031085
LSTM_1722542688,best_combined,8.510716438293457,6.333631992340088,11.464692115783691,7.966371059417725,0.8954618800667885,-0.6229889884823062,0.20333106815814972,0.3999527394771576,6.212430477142334,5.705800533294678,0.8954830567042033,-0.4174756606419881
LSTM_1722542688,best_test,10.657124519348145,6.224076747894287,14.6014404296875,7.699219226837158,0.804344662188914,-0.7961104392735966,0.2766643464565277,0.43665018677711487,7.369512557983398,5.729409694671631,0.823452353477478,-0.7252726157506307
LSTM_1722542688,best_train,8.510716438293457,6.333631992340088,11.464692115783691,7.966371059417725,0.8954618800667885,-0.6229889884823062,0.20333106815814972,0.3999527394771576,6.212430477142334,5.705800533294678,0.8954830567042033,-0.4174756606419881
LSTM_1722542688,last,8.510716438293457,6.333631992340088,11.464692115783691,7.966371059417725,0.8954618800667885,-0.6229889884823062,0.20333106815814972,0.3999527394771576,6.212430477142334,5.705800533294678,0.8954830567042033,-0.4174756606419881
LSTM_1722543035,best_combined,8.604000091552734,6.7040114402771,11.545788764953613,8.404473304748535,0.8938346516963646,-0.738503185182536,0.20809878408908844,0.44961997866630554,6.416103363037109,5.748582363128662,0.8939125339190165,-0.5841937859853109
LSTM_1722543035,best_test,10.52524185180664,6.255054950714111,14.258468627929688,7.800044536590576,0.8259517150242547,-0.3773765110117813,0.2757432758808136,0.4640156328678131,7.623117446899414,5.460700988769531,0.8337517976760864,-0.3284640312194824
LSTM_1722543035,best_train,8.58115005493164,6.82297945022583,11.520689964294434,8.530414581298828,0.8925542413048712,-0.7491114268447673,0.2055494636297226,0.4484870433807373,6.3826727867126465,5.8544921875,0.8926014105478922,-0.5556798378626505
LSTM_1722543035,last,8.58115005493164,6.82297945022583,11.520689964294434,8.530414581298828,0.8925542413048712,-0.7491114268447673,0.2055494636297226,0.4484870433807373,6.3826727867126465,5.8544921875,0.8926014105478922,-0.5556798378626505
